Date,Open,High,Low,Close,Adj Close,Volume
2009-04-20,2.970000,3.000000,2.950000,2.950000,2.844643,41300
2009-04-21,2.850000,2.940000,2.830000,2.880000,2.777143,12300
2009-04-22,2.850000,3.000000,2.800000,2.950000,2.844643,36000
2009-04-23,2.930000,2.930000,2.830000,2.880000,2.777143,16200
2009-04-24,2.880000,2.880000,2.880000,2.880000,2.777143,0
2009-04-27,2.980000,2.990000,2.890000,2.930000,2.825357,80700
2009-04-28,2.950000,3.000000,2.940000,2.950000,2.844643,27000
2009-04-29,2.940000,3.010000,2.940000,3.000000,2.892857,69100
2009-04-30,2.970000,2.970000,2.840000,2.970000,2.863929,9100
2009-05-01,3.000000,3.050000,2.870000,3.050000,2.941072,11900
2009-05-04,3.000000,3.010000,2.970000,3.000000,2.892857,6500
2009-05-05,3.000000,3.050000,2.970000,2.990000,2.883214,9400
2009-05-06,2.990000,3.000000,2.980000,2.980000,2.873571,11200
2009-05-07,2.980000,2.990000,2.950000,2.950000,2.844643,9600
2009-05-08,2.970000,2.970000,2.900000,2.950000,2.844643,8400
2009-05-11,2.860000,2.970000,2.830000,2.830000,2.728929,24600
2009-05-12,2.870000,2.950000,2.780000,2.780000,2.680714,22400
2009-05-13,2.790000,2.970000,2.790000,2.970000,2.863929,58200
2009-05-14,2.980000,3.000000,2.950000,3.000000,2.892857,6300
2009-05-15,3.000000,3.000000,2.990000,3.000000,2.892857,37200
2009-05-18,3.000000,3.000000,3.000000,3.000000,2.892857,0
2009-05-19,3.010000,3.010000,2.970000,3.000000,2.892857,8600
2009-05-20,3.040000,3.140000,2.990000,3.000000,2.892857,45400
2009-05-21,3.000000,3.140000,3.000000,3.040000,2.931429,10900
2009-05-22,3.000000,3.180000,2.950000,2.950000,2.844643,56000
2009-05-26,2.980000,3.000000,2.950000,2.990000,2.883214,7600
2009-05-27,3.000000,3.080000,2.880000,2.910000,2.806072,15900
2009-05-28,2.880000,2.880000,2.770000,2.770000,2.671072,8100
2009-05-29,2.780000,2.940000,2.700000,2.750000,2.651786,39600
2009-06-01,2.820000,2.840000,2.710000,2.790000,2.690357,8800
2009-06-02,2.750000,2.750000,2.600000,2.630000,2.536072,11700
2009-06-03,2.610000,2.750000,2.540000,2.700000,2.603571,30100
2009-06-04,2.730000,2.730000,2.610000,2.650000,2.555357,6700
2009-06-05,2.700000,2.720000,2.640000,2.650000,2.555357,13600
2009-06-08,2.660000,2.830000,2.600000,2.830000,2.728929,8400
2009-06-09,2.740000,2.850000,2.600000,2.750000,2.651786,44500
2009-06-10,2.810000,2.920000,2.780000,2.920000,2.815714,32900
2009-06-11,2.930000,3.420000,2.930000,3.410000,3.288214,35400
2009-06-12,3.310000,3.400000,3.270000,3.390000,3.268929,40000
2009-06-15,3.430000,3.450000,3.180000,3.300000,3.182143,16000
2009-06-16,3.280000,3.320000,3.270000,3.300000,3.182143,17800
2009-06-17,3.210000,3.470000,3.210000,3.400000,3.278572,53400
2009-06-18,3.480000,3.500000,3.380000,3.490000,3.365357,44200
2009-06-19,3.500000,3.840000,3.300000,3.720000,3.587143,64200
2009-06-22,3.650000,3.690000,3.270000,3.650000,3.519643,66700
2009-06-23,3.610000,3.770000,3.330000,3.330000,3.211071,175200
2009-06-24,3.430000,3.650000,3.250000,3.320000,3.201429,52200
2009-06-25,3.580000,3.650000,3.250000,3.350000,3.230357,162400
2009-06-26,3.390000,3.670000,3.350000,3.540000,3.413571,3651500
2009-06-29,3.330000,3.420000,2.930000,3.000000,2.892857,227500
